.model,date,cfb_nominal_usd,forecast_mean,lo80,hi80,lo95,hi95
arima,2026 ene.,"N(821, 0.18)",820.8061731271019,820.2611001095471,821.3512461446568,819.9725558836959,821.639790370508
arima,2026 feb.,"N(823, 0.98)",822.5828051045536,821.3130945423951,823.8525156667121,820.6409503719559,824.5246598371513
arima,2026 mar.,"N(824, 2.9)",824.3009820223594,822.122320567666,826.479643477053,820.9690068599785,827.6329571847403
arima,2026 abr.,"N(826, 6.2)",825.9529149082979,822.7537307748047,829.1520990417911,821.0601849939193,830.8456448226765
arima,2026 may.,"N(828, 11)",827.538629937522,823.254637277712,831.822622597332,820.9868285516033,834.0904313234408
arima,2026 jun.,"N(829, 18)",829.0638354607152,823.6659523720155,834.4617185494149,820.8084856714046,837.3191852500257
arima,2026 jul.,"N(831, 26)",830.5358516874013,824.0190210716161,837.0526823031865,820.5692193304277,840.5024840443749
arima,2026 ago.,"N(832, 35)",831.9623313710263,824.3376867065501,839.5869760355024,820.3014436322343,843.6232191098183
arima,2026 sep.,"N(833, 46)",833.3504297647256,824.6395617338696,842.0612977955816,820.0283067432428,846.6725527862085
arima,2026 oct.,"N(835, 58)",834.7065169610278,824.9374508882593,844.4755830337963,819.7660196919368,849.6470142301188
arima,2026 nov.,"N(836, 71)",836.03608973692,825.2404810636922,846.8316984101477,819.5256310401425,852.5465484336975
arima,2026 dic.,"N(837, 85)",837.3438044204735,825.555016913393,849.1325919275539,819.3144097737941,855.3731990671529
ets,2026 ene.,"N(821, 0.2)",820.7819434961552,820.2148838304349,821.3490031618755,819.9147005761056,821.6491864162049
ets,2026 feb.,"N(823, 0.98)",822.5539138331326,821.2860498540493,823.8217778122158,820.6148832056425,824.4929444606227
ets,2026 mar.,"N(824, 2.7)",824.32588417011,822.2043824134068,826.4473859268132,821.0813272220563,827.5704411181638
ets,2026 abr.,"N(826, 5.9)",826.0978545070874,822.9923164562505,829.2033925579243,821.3483439170296,830.8473650971451
ets,2026 may.,"N(828, 11)",827.8698248440649,823.6649220233144,832.0747276648153,821.43898092897075,834.300668759159
ets,2026 jun.,"N(830, 18)",829.6417951810422,824.2330771109292,835.0505132511552,821.3698747176252,837.9137156444592
ets,2026 jul.,"N(831, 27)",831.4137655180197,824.7050864458605,838.1224445901788,821.1537262665504,841.6738047694889
ets,2026 ago.,"N(833, 40)",833.185735854997,825.087552296709,841.283919413285,820.8006328742254,845.5708388357687
ets,2026 sep.,"N(835, 56)",834.9577061919745,825.3858842477747,844.5295281361742,820.318867785898,849.596544598051
ets,2026 oct.,"N(837, 75)",836.7296765289518,825.6046188628345,847.8547341950691,819.7153690771443,853.7439839807594
ets,2026 nov.,"N(839, 99)",838.5016468659293,825.7476312947207,851.2556624371379,818.9960632827909,858.0072304490676
ets,2026 dic.,"N(840, 127)",840.2736172029067,825.8182815548475,854.7289528509659,818.1660890968534,862.3811453089601
rw_drift,2026 ene.,"N(820, 1.4)",820.185714911053,818.6821182323888,821.6893115897171,817.8861622307802,822.4852675913257
rw_drift,2026 feb.,"N(821, 2.8)",821.3614298221061,819.2269836328884,823.4958760113237,818.0970760728851,824.625783571327
rw_drift,2026 mar.,"N(823, 4.2)",822.537144733159,819.9131834743505,825.1611059919676,818.5241422895876,826.5501471767304
rw_drift,2026 abr.,"N(824, 5.6)",823.7128596442121,820.6716856223454,826.7540336660788,819.0617853419116,828.3639339465127
rw_drift,2026 may.,"N(825, 7.1)",824.8885745552651,821.4758687716806,828.3012803388497,819.6692914569569,830.1078576535733
rw_drift,2026 jun.,"N(826, 8.6)",826.0642894663182,822.3121385245472,829.8164404080892,820.3258697974195,831.8027091352169
rw_drift,2026 jul.,"N(827, 10)",827.2400043773712,823.1724538608023,831.30755489394,821.0192226842175,833.4607860705248
rw_drift,2026 ago.,"N(828, 12)",828.4157192884243,824.0515982646289,832.7798403122197,821.7413721448677,835.0900664319809
rw_drift,2026 sep.,"N(830, 13)",829.5914341994772,824.9459641472314,834.2369042517231,822.4868008484251,836.6960675505294
rw_drift,2026 oct.,"N(831, 15)",830.7671491105303,825.85293642763,835.6813617934307,823.2515093736606,838.2827888474001
rw_drift,2026 nov.,"N(832, 16)",831.9428640215833,826.770549726248,837.1151783169187,824.0324919318961,839.8532361112706
rw_drift,2026 dic.,"N(833, 18)",833.1185789326364,827.6972840100955,838.5398738551773,824.8274238332824,841.4097340319904
